,analyze_and_understand_data_to_influence_product_or_business_decisions,build_the_data_infrastructure_that_my_business_uses_for_storing_analyzing_and_operationalizing_data,build_prototypes_to_explore_applying_machine_learning_to_new_areas,build_a_machine_learning_service_that_operationally_improves_my_product_or_workflows,experimentation_and_iteration_to_improve_existing_ml_models,do_research_that_advances_the_state_of_the_art_of_machine_learning,none_of_these_activities_are_an_important_part_of_my_role_at_work,what_is_the_primary_tool_that_you_use_at_work_or_school_to_analyze_data,highest_level_of_formal_education,job_title,yearly_compensation,does_your_current_employer_incorporate_machine_learning_methods_into_their_business
748,Analyze and understand data to influence product or business decisions,,,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Bachelor’s degree,Data Scientist,"5,000-7,499","We have well established ML methods (i.e., models in production for more than 2 years)"
749,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Engineer,"7,500-9,999",We use ML methods for generating insights (but do not put working models into production)
750,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"70,000-79,999","We have well established ML methods (i.e., models in production for more than 2 years)"
751,Analyze and understand data to influence product or business decisions,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Analyst,"30,000-39,999",We use ML methods for generating insights (but do not put working models into production)
752,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Software Engineer,"20,000-24,999","We have well established ML methods (i.e., models in production for more than 2 years)"
753,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Master’s degree,Data Engineer,"125,000-149,999",We use ML methods for generating insights (but do not put working models into production)
754,,,,,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"150,000-199,999",We are exploring ML methods (and may one day put a model into production)
755,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"40,000-49,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
756,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"10,000-14,999",We are exploring ML methods (and may one day put a model into production)
757,Analyze and understand data to influence product or business decisions,,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Data Analyst,"2,000-2,999",We are exploring ML methods (and may one day put a model into production)
758,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"7,500-9,999",We are exploring ML methods (and may one day put a model into production)
759,,,,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",I prefer not to answer,Product/Project Manager,$0-999,No (we do not use ML methods)
760,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,,Bachelor’s degree,Data Scientist,,"We recently started using ML methods (i.e., models in production for less than 2 years)"
761,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Professional degree,Software Engineer,"20,000-24,999",We are exploring ML methods (and may one day put a model into production)
762,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Business Analyst,"10,000-14,999",I do not know
763,Analyze and understand data to influence product or business decisions,,,,,,,"Advanced statistical software (SPSS, SAS, etc.)",I prefer not to answer,Research Scientist,"15,000-19,999","We have well established ML methods (i.e., models in production for more than 2 years)"
764,,,,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Doctoral degree,Research Scientist,$0-999,"We recently started using ML methods (i.e., models in production for less than 2 years)"
765,,,Build prototypes to explore applying machine learning to new areas,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Some college/university study without earning a bachelor’s degree,Business Analyst,"20,000-24,999",We are exploring ML methods (and may one day put a model into production)
766,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Master’s degree,Data Scientist,"125,000-149,999",We use ML methods for generating insights (but do not put working models into production)
767,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Business Analyst,"10,000-14,999",We are exploring ML methods (and may one day put a model into production)
768,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Advanced statistical software (SPSS, SAS, etc.)",Master’s degree,Data Scientist,"125,000-149,999","We have well established ML methods (i.e., models in production for more than 2 years)"
769,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Software Engineer,"5,000-7,499",I do not know
770,,,,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Doctoral degree,Data Scientist,"3,000-3,999",No (we do not use ML methods)
771,Analyze and understand data to influence product or business decisions,,,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"20,000-24,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
772,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Analyst,"30,000-39,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
773,,,,,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Research Scientist,"100,000-124,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
774,Analyze and understand data to influence product or business decisions,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Software Engineer,"90,000-99,999",We use ML methods for generating insights (but do not put working models into production)
775,,,,,,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"30,000-39,999","We have well established ML methods (i.e., models in production for more than 2 years)"
776,,,,,,,None of these activities are an important part of my role at work,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Bachelor’s degree,Data Analyst,"40,000-49,999","We have well established ML methods (i.e., models in production for more than 2 years)"
777,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Data Scientist,"70,000-79,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
778,,,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",I prefer not to answer,Business Analyst,"30,000-39,999",No (we do not use ML methods)
779,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"125,000-149,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
780,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"50,000-59,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
781,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"100,000-124,999","We have well established ML methods (i.e., models in production for more than 2 years)"
782,,,Build prototypes to explore applying machine learning to new areas,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Product/Project Manager,"70,000-79,999",We are exploring ML methods (and may one day put a model into production)
783,,,,,,,None of these activities are an important part of my role at work,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Bachelor’s degree,Software Engineer,"30,000-39,999",We are exploring ML methods (and may one day put a model into production)
784,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Data Scientist,"250,000-299,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
785,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Master’s degree,Software Engineer,"125,000-149,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
786,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,Build and/or run a machine learning service that operationally improves my product or workflows,,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"2,000-2,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
787,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,Do research that advances the state of the art of machine learning,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Bachelor’s degree,Business Analyst,$0-999,"We recently started using ML methods (i.e., models in production for less than 2 years)"
788,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Bachelor’s degree,Data Scientist,"50,000-59,999",We are exploring ML methods (and may one day put a model into production)
789,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"3,000-3,999",No (we do not use ML methods)
790,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"90,000-99,999",We use ML methods for generating insights (but do not put working models into production)
791,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Doctoral degree,Data Scientist,"250,000-299,999","We have well established ML methods (i.e., models in production for more than 2 years)"
792,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Research Scientist,"60,000-69,999",We use ML methods for generating insights (but do not put working models into production)
793,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"100,000-124,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
794,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"30,000-39,999","We have well established ML methods (i.e., models in production for more than 2 years)"
795,,,Build prototypes to explore applying machine learning to new areas,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Data Scientist,"100,000-124,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
796,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"100,000-124,999","We have well established ML methods (i.e., models in production for more than 2 years)"
797,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",I prefer not to answer,Data Scientist,"20,000-24,999",We use ML methods for generating insights (but do not put working models into production)
798,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,"Advanced statistical software (SPSS, SAS, etc.)",Master’s degree,Data Analyst,"70,000-79,999","We have well established ML methods (i.e., models in production for more than 2 years)"
799,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"150,000-199,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
800,,,,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Master’s degree,Software Engineer,"25,000-29,999",No (we do not use ML methods)
801,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"40,000-49,999","We have well established ML methods (i.e., models in production for more than 2 years)"
802,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,,,Other,Master’s degree,Data Engineer,"80,000-89,999","We have well established ML methods (i.e., models in production for more than 2 years)"
803,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Analyst,"20,000-24,999","We have well established ML methods (i.e., models in production for more than 2 years)"
804,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Professional degree,Software Engineer,"4,000-4,999",We are exploring ML methods (and may one day put a model into production)
805,Analyze and understand data to influence product or business decisions,,,,,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Research Scientist,"150,000-199,999","We have well established ML methods (i.e., models in production for more than 2 years)"
806,,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,Other,Master’s degree,Data Engineer,$0-999,We are exploring ML methods (and may one day put a model into production)
807,,,Build prototypes to explore applying machine learning to new areas,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Professional degree,Software Engineer,"15,000-19,999",We are exploring ML methods (and may one day put a model into production)
808,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"100,000-124,999",No (we do not use ML methods)
809,Analyze and understand data to influence product or business decisions,,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Software Engineer,"70,000-79,999",We are exploring ML methods (and may one day put a model into production)
810,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Product/Project Manager,"125,000-149,999","We have well established ML methods (i.e., models in production for more than 2 years)"
811,,,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Data Analyst,"20,000-24,999",No (we do not use ML methods)
812,,,,,,,None of these activities are an important part of my role at work,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"7,500-9,999",We are exploring ML methods (and may one day put a model into production)
813,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"250,000-299,999","We have well established ML methods (i.e., models in production for more than 2 years)"
814,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"80,000-89,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
815,,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Data Scientist,"60,000-69,999","We have well established ML methods (i.e., models in production for more than 2 years)"
816,,,,,,,None of these activities are an important part of my role at work,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Master’s degree,Software Engineer,"200,000-249,999","We have well established ML methods (i.e., models in production for more than 2 years)"
817,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Product/Project Manager,"100,000-124,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
818,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Master’s degree,Data Analyst,"70,000-79,999",We are exploring ML methods (and may one day put a model into production)
819,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Scientist,"1,000-1,999",We use ML methods for generating insights (but do not put working models into production)
820,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"2,000-2,999",We are exploring ML methods (and may one day put a model into production)
821,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Some college/university study without earning a bachelor’s degree,Software Engineer,"20,000-24,999",No (we do not use ML methods)
822,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,$0-999,"We recently started using ML methods (i.e., models in production for less than 2 years)"
823,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,,,"Advanced statistical software (SPSS, SAS, etc.)",Some college/university study without earning a bachelor’s degree,Data Analyst,$0-999,We use ML methods for generating insights (but do not put working models into production)
824,,,,,,Do research that advances the state of the art of machine learning,,Other,I prefer not to answer,Research Scientist,"80,000-89,999","We have well established ML methods (i.e., models in production for more than 2 years)"
825,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Professional degree,Data Analyst,"15,000-19,999",No (we do not use ML methods)
826,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Bachelor’s degree,Software Engineer,"4,000-4,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
827,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,Other,Doctoral degree,Research Scientist,"90,000-99,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
828,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Software Engineer,"7,500-9,999",I do not know
829,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Master’s degree,Data Scientist,"80,000-89,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
830,,,,,,,None of these activities are an important part of my role at work,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Bachelor’s degree,Software Engineer,"5,000-7,499",We are exploring ML methods (and may one day put a model into production)
831,,,,,,,None of these activities are an important part of my role at work,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"30,000-39,999",We are exploring ML methods (and may one day put a model into production)
832,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Professional degree,Product/Project Manager,"40,000-49,999",We are exploring ML methods (and may one day put a model into production)
833,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,Other,Master’s degree,Data Scientist,"40,000-49,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
834,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Doctoral degree,Software Engineer,"125,000-149,999","We have well established ML methods (i.e., models in production for more than 2 years)"
835,,,,,,Do research that advances the state of the art of machine learning,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Research Scientist,"90,000-99,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
836,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Research Scientist,"80,000-89,999","We have well established ML methods (i.e., models in production for more than 2 years)"
837,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Analyst,"40,000-49,999",No (we do not use ML methods)
838,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Data Scientist,"150,000-199,999","We have well established ML methods (i.e., models in production for more than 2 years)"
839,,,,,,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Research Scientist,"60,000-69,999",We are exploring ML methods (and may one day put a model into production)
840,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Scientist,$0-999,"We recently started using ML methods (i.e., models in production for less than 2 years)"
841,,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,Other,Bachelor’s degree,Software Engineer,"80,000-89,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
842,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Data Scientist,"150,000-199,999","We have well established ML methods (i.e., models in production for more than 2 years)"
843,,,Build prototypes to explore applying machine learning to new areas,,,,,Other,Master’s degree,Research Scientist,"100,000-124,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
844,Analyze and understand data to influence product or business decisions,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Software Engineer,$0-999,We are exploring ML methods (and may one day put a model into production)
845,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"25,000-29,999",We are exploring ML methods (and may one day put a model into production)
846,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,$0-999,We are exploring ML methods (and may one day put a model into production)
847,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"100,000-124,999","We have well established ML methods (i.e., models in production for more than 2 years)"
848,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"100,000-124,999","We have well established ML methods (i.e., models in production for more than 2 years)"
849,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"100,000-124,999","We have well established ML methods (i.e., models in production for more than 2 years)"
850,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"150,000-199,999",We are exploring ML methods (and may one day put a model into production)
851,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Engineer,"200,000-249,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
852,,,,,,,None of these activities are an important part of my role at work,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Research Scientist,"15,000-19,999",We use ML methods for generating insights (but do not put working models into production)
